message,label
ส่งไฟล์ให้แล้ว http://youtube.com/4tduad,ham
มีคดีค้างชำระ ตรวจสอบด่วน http://bank-confirm.site/09wq0o,spam
ประชุม 19 โมงนะ,ham
เรื่องที่คุยไว้ ลองเข้าไปดู http://promo-sale99.net/39usl5 ก่อน 💸,spam
เรื่องที่คุยไว้ ลองเข้าไปดู http://promo-sale99.net/9jwp1z ก่อน,spam
เรื่องที่คุยไว้ ลองเข้าไปดู http://account-verify.co/94l9sd ก่อน,spam
"ระบบพบความผิดปกติ
OTP:9558
กรอกที่ http://delivery-check.me/o15ls9 💰",spam
ร้านนี้ลด 50% จริง 555,ham
ประชุม 18 โมงนะ,ham
ร้านนี้ลด 31% จริง 555,ham
โอน 50175 บาทแล้วนะ ดูสลิปที่ http://delivery-check.me/f89ztm,spam
ร้านนี้ลด 45% จริง 555,ham
ระบบแจ้งเตือนความปลอดภัยในบริษัทเรา,ham
มีคดีค้างชำระ ตรวจสอบดว่น http://delivery-check.me/hfmulw,spam
เอ โอนเงินให้แล้ว 19996 บาทนะ 🚨,ham
ส่งไฟล์ให้แล้ว http://scb.co.th/l8yekt,ham
ดูคลิปนี้สิ http://facebook.com/k0ai5i 😱,ham
มีคดีค้างชำระ ตรวจสอบด่วน http://promo-sale99.net/v11ked,spam
Krungsri ส่งแจ้งเตือน OTP เฉยๆ อย่ากดลิงก์ปลอม,ham
ร้านนี้ลด 66% จริง 555 🎉,ham
OTP เมื่อกี้คือ 917695 ใช่ไหม 🙏,ham
พลอย โอนเงินให้แล้ว 75690 บาทนะ,ham
ประชุม 22 โมงนะ,ham
"ระบบพบความผิดปกติ
OTP:888017
กรอกที่ http://fastloan-now.vip/pj8w9g 💰",spam
มีคดีค้างชำระ ตรวจสอบด่วน http://fastloan-now.vip/mxo60e 🔥,spam
มีคดีค้างชำระ ตรวจสอบด่วน http://delivery-check.me/8raop3,spam
บอย โอนเงินให้แล้ว 60954 บาทนะ,ham
พัสดุตกค้าง ชำระ 76362 ที่ http://delivery-check.me/nh8h5o 💸,spam
ก้อย ลองดูอันนี้ก่อน เดี๋ยวคุยกัน http://promo-sale99.net/pjotm1 💰,spam
เรื่องที่คุยไว้ ลองเข้าไปดู http://delivery-check.me/c0w6a7 ก่อน,spam
ตั้ม ลองดูอันนี้ก่อน เดี๋ยวคุยกัน http://fastloan-now.vip/ea2wzf,spam
ประชุม 20 โมงนะ 🚨,ham
BangkokBank ส่งแจ้งเตือน OTP เฉยๆ อย่ากดลิงก์ปลอม,ham
โอน 8728 บาทแล้วนะ ดูสลิปที่ http://bank-confirm.site/nq5rjf,spam
เราได้กำไร 33% จริง สนใจไหม http://bank-confirm.site/llcast 😱,spam
นัท โอนเงินให้แล้ว 17903 บาทนะ 🔥,ham
เรื่องที่คุยไว้ ลองเข้าไปดู http://secure-update.live/tdyzjc ก่อน 🎉,spam
อ่านข่าวเรื่องกู้เงินมาน่ากลัวมาก,ham
"ระบบพบความผิดปกติ
OTP:379178
กรอกที่ http://promo-sale99.net/ens7v7",spam
ส่งไฟล์ให้แล้ว http://facebook.com/qiepcw,ham
"ระบบพบความผิดปกติ
OTP:7473
กรอกที่ http://promo-sale99.net/v9agby 🤣",spam
แม่ โอนเงินให้แล้ว 43730 บาทนะ,ham
โอ๊ต ลองดูอันนี้ก่อน เดี๋ยวคุยกัน http://bank-confirm.site/n1jqc9,spam
SCB แจ้งเตือน OTP 68529 หากไม่ใช่คุณยืนยันที่ http://fastloan-now.vip/66s07a,spam
โอ๊ต ลองดูอันนี้ก่อน เดี๋ยวคุยกัน http://bank-confirm.site/e1m2p8,spam
นัท ลองดูอันนี้ก่อน เดี๋ยวคุยกัน http://bank-confirm.site/mo30kh 🚨,spam
ส่งไฟล์ให้แล้ว http://pantip.com/pxie30 💰,ham
ประชุม 11 โมงนะ ✨,ham
พัสดุตกค้าง ชำระ 48905 ที่ http://delivery-check.me/z8v3jx,spam
พ่อ ลองดูอันนี้ก่อน เดี๋ยวคุยกัน http://secure-update.live/cydjdv,spam
ส่งไฟล์ให้แล้ว http://pantip.com/28di54,ham
"ระบบพบความผิดปกติ
OTP:1953
กรอกที่ http://account-verify.co/isb775",spam
พัสดุตกค้าง ชำระ 56084 ที่ http://secure-update.live/wcgqu6,spam
ส่งไฟล์ให้แล้ว http://scb.co.th/zlbf5p,spam
"ระบบพบความผิดปกติ
OTP:83660
กรอกที่ http://account-verify.co/ay4s4k",spam
พัสดุตกค้าง ชำระ 50389 ที่ http://promo-sale99.net/oiraas,spam
มีคดีค้างชำระ ตรวจสอบด่วน http://promo-sale99.net/u7hxyu,spam
เรื่องที่คุยไว้ ลองเข้าไปดู http://delivery-check.me/rmqg0w ก่อน,spam
เรื่องที่คุยไว้ ลองเข้าไปดู http://account-verify.co/51c263 ก่อน,spam
OTP เมื่อกี้คือ 76317 ใช่ไหม 🤣,ham
ไปธนาคารยืนยันบัญชีพรุ่งนี้,ham
เราได้กำไร 74% จริง สนใจไหม http://account-verify.co/yxwecl,spam
เอ ลองดูอันนี้ก่อน เดี๋ยวคุยกัน http://bank-confirm.site/j8z5vc,spam
ตั้ม ลองดูอันนี้ก่อน เดี๋ยวคุยกัน http://promo-sale99.net/wfykyb 😱,spam
พัสดุตกค้าง ชำระ 33304 ที่ http://fastloan-now.vip/8f9z3l 💰,spam
"ระบบพบความผิดปกติ
OTP:2032
กรอกที่ http://delivery-check.me/0yedv0",spam
KBank แจ้งเตือน OTP 9516 หากไม่ใช่คุณยืนยนที่ http://account-verify.co/rxe7xm 💰,spam
มีคดีค้างชำระ ตรวจสอบด่วน http://delivery-check.me/9q1ixw,spam
เราได้กำไร 29% จริง สนใจไหม http://fastloan-now.vip/3padna,spam
ร้านนี้ลด 30% จริง 555,ham
OTP เมื่อกี้คือ 611289 ใช่ไหม 🙏,ham
